instance,tree,method,compress,time,orignodes,newnodes
miplib2017/fastxgemm-n2r6s0t2,RB,drop,0.19998000199979993,0.3756754398345947,10001,9981
miplib2017/fhnw-binpack4-48,RB,heuristic,0.0,0.11265349388122559,1,1
miplib2017/fhnw-binpack4-48,RB,drop,0.0,0.0022487640380859375,1,1
miplib2017/fiball,RB,heuristic,99.9900009999,0.5475449562072754,10001,1
miplib2017/fiball,RB,drop,99.9900009999,0.5509052276611328,10001,1
miplib2017/glass-sc,RB,heuristic,1.019898010198983,86399.94325518608,10001,9899
miplib2017/glass-sc,RB,drop,0.0,1.0594983100891113,10001,10001
miplib2017/glass4,RB,heuristic,11.95880411958804,2047.190330028534,10001,8805
miplib2017/glass4,RB,drop,11.918808119188085,0.35158228874206543,10001,8809
miplib2017/gmu-35-40,RB,heuristic,98.61013898610139,620.0504722595215,10001,139
miplib2017/gmu-35-40,RB,drop,73.91260873912609,0.192734956741333,10001,2609
miplib2017/gmu-35-50,RB,heuristic,0.0,0.05499696731567383,1,1
miplib2017/gmu-35-50,RB,drop,0.0,0.0025696754455566406,1,1
miplib2017/graph20-20-1rand,RB,heuristic,73.21267873212678,86399.91084265709,10001,2679
miplib2017/graph20-20-1rand,RB,drop,73.21267873212678,0.44544410705566406,10001,2679
miplib2017/graphdraw-domain,RB,drop,0.0,0.42766284942626953,10001,10001
miplib2017/h80x6320d,RB,heuristic,50.5949405059494,67358.02075099945,10001,4941
miplib2017/h80x6320d,RB,drop,0.0,0.47527098655700684,10001,10001
miplib2017/ic97_potential,RB,heuristic,99.9900009999,0.11533355712890625,10001,1
miplib2017/ic97_potential,RB,drop,99.9900009999,0.12093377113342285,10001,1
miplib2017/icir97_tension,RB,heuristic,55.11448855114489,66458.74949026108,10001,4489
miplib2017/icir97_tension,RB,drop,5.679432056794321,0.4293510913848877,10001,9433
miplib2017/irp,RB,heuristic,57.21427857214279,86399.91305375099,10001,4279
miplib2017/irp,RB,drop,0.1799820017998166,0.41779065132141113,10001,9983
